event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,x_m,y_m,z_m
3160513,2011/04/29 22:32:55.55,38.8144,-122.81992,3.058,0.78,ML,6069.795986316744,5608.432345989822,3058.0
3160590,2011/04/30 09:46:12.87,38.81547,-122.79583,2.981,1.1,ML,7463.895791169827,4047.0110231599115,2981.0
3160916,2011/05/03 01:12:05.73,38.82887,-122.79311,1.179,0.25,ML,6583.035441893161,2832.4430164616156,1179.0
3160998,2011/05/03 15:16:03.25,38.84387,-122.8241,0.337,0.61,ML,3509.1915959922176,3560.6581056748305,337.0
3161446,2011/05/06 19:30:33.10,38.81632,-122.79653,2.214,1.56,ML,7354.495986164468,4023.4918652863366,2214.0
3161471,2011/05/07 00:17:39.80,38.8188,-122.79939,1.868,0.62,ML,6985.148782187194,4005.028448157049,1868.0
3161589,2011/05/07 23:50:03.61,38.77362,-122.69542,1.941,1.75,ML,16895.53060559951,1159.6804398882146,1941.0
3312209,2011/05/09 03:23:20.55,38.815,-122.82633,2.63,0.39,ML,5629.672733963208,5954.730448076074,2630.0
3161931,2011/05/10 14:45:14.81,38.82102,-122.81077,2.208,1.44,ML,6113.485279658963,4529.538894696428,2208.0
3161995,2011/05/11 02:55:41.20,38.83495,-122.80141,2.07,0.31,ML,5598.505129691524,2866.211805952967,2070.0
3162022,2011/05/11 09:44:19.75,38.83452,-122.80643,3.005,2.18,ML,5324.18234525453,3207.775948081906,3005.0
3162285,2011/05/14 02:36:41.78,38.85312,-122.86805,1.693,0.71,ML,89.91717597145943,5533.461459072416,1693.0
3162395,2011/05/15 01:43:18.31,38.83842,-122.8017,2.799,1.04,ML,5309.404507548511,2612.690309048894,2799.0
3162568,2011/05/16 15:42:23.72,38.75437,-122.72735,2.767,2.64,ML,16441.95020336732,4623.484413202801,2767.0
3162639,2011/05/17 09:05:42.98,38.755,-122.72028,1.325,1.46,ML,16826.389267486647,4140.528941302437,1325.0
3162690,2011/05/17 22:54:27.62,38.82802,-122.80592,2.136,0.98,ML,5863.687002086827,3684.7104191468843,2136.0
3312274,2011/05/19 05:27:05.37,38.80582,-122.74903,0.667,1.38,ML,11089.273721510246,1930.65425962197,667.0
3162877,2011/05/19 20:12:35.12,38.81533,-122.80793,2.632,0.6,ML,6732.587894213827,4800.211455177502,2632.0
3162889,2011/05/19 22:57:21.73,38.78876,-122.73521,1.429,1.37,ML,13270.91928163192,2416.7704721053756,1429.0
3261608,2011/05/24 04:01:18.35,38.81142,-122.79217,3.494,0.55,ML,8005.072222249739,4139.154356385577,3494.0
3163343,2011/05/24 04:56:47.81,38.81618,-122.81482,1.076,0.99,ML,6243.472942252763,5156.407444259631,1076.0
3163389,2011/05/24 14:37:31.78,38.8396,-122.82648,3.168,1.28,ML,3697.055655572219,4040.5163654994103,3168.0
3163454,2011/05/25 03:55:59.07,38.79143,-122.7291,1.096,0.8,ML,13436.966003692689,1833.2018313550132,1096.0
