event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,x_m,y_m,z_m
3257555,2011/01/02 20:48:43.98,38.78713,-122.77617,1.588,0.79,ML,10885.742748979748,5056.838662985176,1588.0
3257556,2011/01/02 20:49:03.75,38.83558,-122.80711,2.834,0.59,ML,5199.590005340988,3166.610522522463,2834.0
3146449,2011/01/02 20:56:55.28,38.83757,-122.80378,2.972,1.27,ML,5248.269884679143,2806.7438947971955,2972.0
3146450,2011/01/02 21:40:45.52,38.85622,-122.82098,3.753,1.58,ML,2734.9655809516876,2403.64977770954,3753.0
3146451,2011/01/02 21:45:44.27,38.75747,-122.70914,2.08,1.56,ML,17316.630411068913,3264.04092911967,2080.0
3146452,2011/01/02 21:48:46.33,38.83013,-122.7866,3.241,0.93,ML,6883.864043269808,2334.581599524,3241.0
3257557,2011/01/02 22:15:20.49,38.81132,-122.79427,2.409,0.82,ML,7884.070014075802,4275.794089603506,2409.0
3146454,2011/01/02 22:30:12.05,38.8485,-122.82771,2.213,0.6,ML,2925.7335082521186,3420.0987838508668,2213.0
3146455,2011/01/02 22:33:39.57,38.84833,-122.82425,2.43,0.89,ML,3151.2732895912486,3221.142795088189,2430.0
3146456,2011/01/02 22:55:50.77,38.82277,-122.8027,3.719,1.3,ML,6471.697522907945,3897.669963167026,3719.0
3311231,2011/01/02 23:01:46.52,38.82873,-122.79505,3.599,0.58,ML,6474.975669828856,2962.3953235886215,3599.0
3146457,2011/01/02 23:18:46.06,38.8096,-122.81487,0.783,0.56,ML,6754.880350250498,5673.949184195476,783.0
3146458,2011/01/03 00:19:29.46,38.8164,-122.79379,1.862,1.84,ML,7516.321671245101,3849.1561601693993,1862.0
